"","Mean score"
"Specimen 1",1.52
"Specimen 2",1.03
"Specimen 3",0.9
"Specimen 4",0.54
"Specimen 5",0
"Specimen 6",1.06
"Specimen 7",1.79
"Specimen 8",5.26
"Specimen 9",0.53
"Specimen 10",1.56
"Specimen 11",1.02
"Specimen 12",1.52
"Specimen 13",1.43
"Specimen 14",2.71
"Specimen 15",0
