"","Leaf..1.length..cm.","Leaf..2.length..cm.","Leaf..3.length..cm.","Leaf..4.length..cm.","Leaf..5.length..cm.","Length.of.nut..1..cm.","Length.of.nut..2..cm.","Length.of.nut..3..cm.","Length.of.nut..4..cm.","Length.of.nut..5..cm.","Width.of.nut..1..cm.","Width.of.nut..2..cm.","Width.of.nut..3..cm.","Width.of.nut..4..cm.","Width.of.nut..5..cm.","Catkin.length..1..cm.","Catkin.length..2..cm.","Catkin.length..3..cm.","Catkin.length..4..cm.","Catkin.length..5..cm."
"1",-0.754729868178403,-10.1823206289701,NA,NA,NA,-1.32725832012679,NA,NA,NA,NA,1.24862284245319,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0.239808153477205,2.58272800645681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",-26.4410561547044,-2.2980093676815,-5.2111903455842,-18.9416118875325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.173410404624271,-47.3605053391487,-18.7169145449962,-1.28189623896481,NA
"4",-40.7335729425859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60357083815506,-0.467445742904839,-2.11488606904079,0.856676638564043,NA
"5",-2.9080824088748,0.322919795734449,-5.23980562011409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.70085042521261,-36.9118270453582,NA,NA,NA
"6",-0.969661779648725,-1.63850877863568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",-81.6021904257198,-52.8745926312909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",-0.505255822057028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",-23.6103814227172,-3.14303380049466,2.06694898164953,2.16052220281327,NA,-10.436799381523,-3.74074074074074,0.147112909157779,NA,NA,2.17021276595743,5.16742455560149,1.21341898643825,NA,NA,32.8992072480181,14.0661938534279,-3.51051170170566,NA,NA
"10",1.27483797450324,1.63171719869998,NA,NA,NA,-5.26065222566055,-0.946831755280401,NA,NA,NA,0.390117035110533,-5.55891238670695,NA,NA,NA,NA,NA,NA,NA,NA
