"","Sum score total","Mean score TOTAL","Best Traits"
"Specimen 1",2,2,0
"Specimen 2",1,1,1
"Specimen 3",4,4,1
"Specimen 4",2,2,1
"Specimen 5",1,1,0
"Specimen 6",2,2,1
"Specimen 7",2,2,0
"Specimen 8",9,9,4
"Specimen 9",1,1,0
"Specimen 10",2,2,2
"Specimen 11",0,0,0
"Specimen 12",2,2,1
"Specimen 13",2,2,0
"Specimen 14",3,3,2
"Specimen 15",1,1,1
