"","Mean score"
"Specimen 1",0.97
"Specimen 2",0.59
"Specimen 3",2.04
"Specimen 4",1.11
"Specimen 5",0.45
"Specimen 6",0.82
"Specimen 7",0.95
"Specimen 8",4.54
"Specimen 9",0.48
"Specimen 10",1.04
"Specimen 11",0
"Specimen 12",1.02
"Specimen 13",0.86
"Specimen 14",1.32
"Specimen 15",0.59
