"","V1","V2"
"1","Leaf..1.length..cm.",-0.549975171417764
"2","Leaf..2.length..cm.",-0.764418547276671
"3","Leaf..3.length..cm.",0.142665428756691
"4","Leaf..4.length..cm.",NA
"5","Leaf..5.length..cm.",NA
"6","Length.of.nut..1..cm.",5.27777777777777
"7","Length.of.nut..2..cm.",1.77674777906527
"8","Length.of.nut..3..cm.",0.185804533630633
"9","Length.of.nut..4..cm.",NA
"10","Length.of.nut..5..cm.",NA
"11","Width.of.nut..1..cm.",3.06211723534557
"12","Width.of.nut..2..cm.",0.354889589905359
"13","Width.of.nut..3..cm.",3.02598789604841
"14","Width.of.nut..4..cm.",NA
"15","Width.of.nut..5..cm.",NA
"16","Catkin.length..1..cm.",3.91392326049771
"17","Catkin.length..2..cm.",-17.8978763377958
"18","Catkin.length..3..cm.",-1.91795217936865
"19","Catkin.length..4..cm.",2.02303484276954
"20","Catkin.length..5..cm.",-17.9948691029459
"21","Leaf.Scar.Angle.....1",-13.3308219661121
"22","Leaf.Scar.Angle.....2",14.8061446848907
"23","Leaf.Scar.Angle.....3",5.46216468191036
"24","Leaf.Scar.Angle.....4",3.70729008161571
"25","Leaf.Scar.Angle.....5",NA
