"","V1","V2"
"1","Leaf..1.length..cm.",-18.0249832170343
"2","Leaf..2.length..cm.",-17.2125831403437
"3","Leaf..3.length..cm.",-8.58174436928481
"4","Leaf..4.length..cm.",-12.9724178754243
"5","Leaf..5.length..cm.",-2.11352848604979
"6","Length.of.nut..1..cm.",-1.2606307543743
"7","Length.of.nut..2..cm.",-2.16914296882917
"8","Length.of.nut..3..cm.",-0.36463671811372
"9","Length.of.nut..4..cm.",-0.0186663582616768
"10","Length.of.nut..5..cm.",-2.8387669106232
"11","Width.of.nut..1..cm.",-1.92611138886435
"12","Width.of.nut..2..cm.",-1.69606258145583
"13","Width.of.nut..3..cm.",-0.489586669618087
"14","Width.of.nut..4..cm.",0.506203238856954
"15","Width.of.nut..5..cm.",2.46174318030606
"16","Catkin.length..1..cm.",-11.4786098143758
"17","Catkin.length..2..cm.",-11.114263788736
"18","Catkin.length..3..cm.",-10.084057325707
"19","Catkin.length..4..cm.",5.26450394826169
"20","Catkin.length..5..cm.",10.5451752976878
